Date,Price,Open,High,Low,Vol.,Change %
08/01/1993,375.7,410.40,414.00,367.00,713.86K,-8.66%
09/01/1993,357.1,374.40,375.00,343.00,652.41K,-4.95%
10/01/1993,369.6,356.40,376.70,350.00,579.52K,3.50%
11/01/1993,371.9,368.60,381.20,360.70,666.68K,0.62%
12/01/1993,391.9,371.40,393.90,370.40,471.97K,5.38%
01/01/1994,383.6,391.90,397.80,377.20,706.74K,-2.12%
02/01/1994,382.5,383.60,392.30,375.70,530.88K,-0.29%
03/01/1994,394.3,381.80,396.50,374.00,641.89K,3.08%
04/01/1994,377.8,394.70,395.80,369.50,529.48K,-4.18%
05/01/1994,390.0,377.70,391.40,373.10,725.46K,3.23%
06/01/1994,387.3,390.40,397.90,380.40,652.33K,-0.69%
07/01/1994,389.2,386.80,394.10,382.00,533.60K,0.49%
08/01/1994,390.8,390.10,394.00,380.20,572.65K,0.41%
09/01/1994,397.6,390.50,401.90,389.90,595.28K,1.74%
10/01/1994,384.9,396.20,399.80,383.70,591.46K,-3.19%
11/01/1994,384.5,384.70,387.90,382.40,483.73K,-0.10%
12/01/1994,384.4,383.70,386.80,377.70,377.24K,-0.03%
01/01/1995,377.7,382.40,386.00,372.00,646.28K,-1.74%
02/01/1995,378.3,378.70,382.40,376.30,383.30K,0.16%
03/01/1995,394.3,377.40,402.00,374.50,778.14K,4.23%
04/01/1995,388.5,395.20,400.80,387.30,536.92K,-1.47%
05/01/1995,387.6,389.90,393.90,381.50,582.90K,-0.23%
06/01/1995,385.6,386.60,395.00,384.20,499.00K,-0.52%
07/01/1995,388.4,385.20,396.30,383.00,454.52K,0.73%
08/01/1995,386.9,388.20,396.00,385.40,455.58K,-0.39%
09/01/1995,386.5,386.40,390.60,383.10,435.57K,-0.10%
10/01/1995,384.3,385.90,388.70,382.60,321.70K,-0.57%
11/01/1995,388.6,384.10,391.50,381.50,641.95K,1.12%
12/01/1995,388.1,387.60,392.40,386.70,359.01K,-0.13%
01/01/1996,408.5,392.00,410.40,388.00,985.65K,5.26%
02/01/1996,401.2,409.20,419.60,397.50,842.43K,-1.79%
03/01/1996,398.4,401.10,402.50,392.30,640.24K,-0.70%
04/01/1996,393.5,398.10,401.00,391.50,603.51K,-1.23%
05/01/1996,394.4,393.50,398.00,389.80,582.68K,0.23%
06/01/1996,381.6,394.30,394.30,381.50,508.21K,-3.25%
07/01/1996,393.1,382.30,393.30,381.50,547.65K,3.01%
08/01/1996,391.3,392.90,396.20,390.00,376.14K,-0.46%
09/01/1996,380.5,391.50,391.50,380.10,480.84K,-2.76%
10/01/1996,379.1,380.80,386.50,378.50,451.16K,-0.37%
11/01/1996,373.0,378.80,385.80,372.50,500.00K,-1.61%
12/01/1996,369.2,373.90,376.10,367.70,404.43K,-1.02%
01/01/1997,346.0,369.20,369.40,345.40,786.32K,-6.28%
02/01/1997,365.1,346.30,365.50,338.50,761.35K,5.52%
03/01/1997,354.0,365.10,366.00,346.30,613.91K,-3.04%
04/01/1997,341.2,354.30,355.10,339.50,460.53K,-3.62%
05/01/1997,347.5,341.10,352.20,340.40,560.70K,1.85%
06/01/1997,335.3,347.30,347.60,334.60,490.26K,-3.51%
07/01/1997,328.6,334.90,335.80,314.60,812.87K,-2.00%
08/01/1997,327.4,328.90,333.40,321.00,614.84K,-0.37%
09/01/1997,336.9,327.00,337.90,321.00,701.88K,2.90%
10/01/1997,312.1,336.60,342.10,308.00,847.16K,-7.36%
11/01/1997,296.9,312.10,316.90,295.10,534.30K,-4.87%
12/01/1997,289.9,298.50,299.10,283.30,509.44K,-2.36%
01/01/1998,304.6,289.40,309.00,277.50,793.75K,5.07%
02/01/1998,300.1,304.60,310.00,291.80,487.86K,-1.48%
03/01/1998,303.3,300.00,306.80,287.30,609.14K,1.07%
04/01/1998,307.9,303.30,317.00,301.20,669.23K,1.52%
05/01/1998,295.1,308.00,308.50,290.60,630.04K,-4.16%
06/01/1998,298.1,295.40,301.60,285.60,655.72K,1.02%
07/01/1998,290.5,297.80,299.70,289.10,538.02K,-2.55%
08/01/1998,278.9,291.00,294.80,273.80,614.54K,-3.99%
09/01/1998,299.0,279.30,302.20,279.30,803.93K,7.21%
10/01/1998,293.7,299.10,306.90,292.00,667.95K,-1.77%
11/01/1998,295.1,294.00,299.10,288.70,485.99K,0.48%
12/01/1998,289.2,295.00,299.50,286.50,474.88K,-2.00%
01/01/1999,288.2,289.60,294.30,282.50,610.54K,-0.35%
02/01/1999,288.3,288.50,292.60,285.00,463.83K,0.03%
03/01/1999,281.9,288.00,296.50,278.50,808.88K,-2.22%
04/01/1999,287.8,281.90,289.00,279.10,522.57K,2.09%
05/01/1999,272.0,287.90,291.20,267.90,755.60K,-5.49%
06/01/1999,263.6,271.50,272.00,258.50,529.11K,-3.09%
07/01/1999,258.8,263.50,264.70,253.20,651.84K,-1.82%
08/01/1999,257.3,258.80,264.70,253.80,628.99K,-0.58%
09/01/1999,299.5,257.50,329.00,254.80,987.93K,16.40%
10/01/1999,300.3,299.10,339.00,287.60,807.28K,0.27%
11/01/1999,293.0,299.70,300.40,288.00,372.59K,-2.43%
12/01/1999,289.6,293.00,294.00,276.20,412.23K,-1.16%
01/01/2000,286.2,289.50,291.80,280.00,414.02K,-1.17%
02/01/2000,294.2,286.00,326.90,285.00,742.60K,2.80%
03/01/2000,281.4,294.20,296.20,274.80,550.89K,-4.35%
04/01/2000,274.7,281.50,291.50,274.00,332.99K,-2.38%
05/01/2000,274.8,274.80,284.00,269.50,475.19K,0.04%
06/01/2000,291.5,275.40,296.50,274.80,591.35K,6.08%
07/01/2000,283.2,289.70,289.70,277.70,369.66K,-2.85%
08/01/2000,282.1,283.40,285.00,275.30,343.57K,-0.39%
09/01/2000,276.9,281.90,282.50,271.70,387.21K,-1.84%
10/01/2000,266.4,277.30,279.90,263.50,409.41K,-3.79%
11/01/2000,273.3,266.50,273.50,264.50,689.58K,2.59%
12/01/2000,273.6,273.20,278.50,270.30,343.61K,0.11%
01/01/2001,268.0,273.80,275.00,262.00,488.25K,-2.05%
02/01/2001,267.8,267.80,270.90,255.10,400.27K,-0.07%
03/01/2001,259.2,267.70,274.70,258.00,549.34K,-3.21%
04/01/2001,264.4,259.10,267.50,255.80,334.98K,2.01%
05/01/2001,266.9,264.30,298.60,264.10,688.58K,0.95%
